model	variant	source	CS@5	CS@10	CS@20
sasrec	kuairec_highest_individual	multihot	0.140732	0.120479	0.107412
sasrec	kuairec_highest_individual	typeemb	0.137988	0.123354	0.115254
sasrec	kuairec_highest_individual	itememb	0.240407	0.209106	0.179644
gru4rec	kuairec_highest_individual	multihot	0.155407	0.140997	0.131813
gru4rec	kuairec_highest_individual	typeemb	0.167493	0.156576	0.149656
gru4rec	kuairec_highest_individual	itememb	0.088172	0.070131	0.054778
sasrec	kuairec_highest_average	multihot	0.140705	0.120370	0.107332
sasrec	kuairec_highest_average	typeemb	0.134995	0.120247	0.112883
sasrec	kuairec_highest_average	itememb	0.240882	0.209311	0.179810
gru4rec	kuairec_highest_average	multihot	0.165098	0.147763	0.134523
gru4rec	kuairec_highest_average	typeemb	0.167021	0.155826	0.146850
gru4rec	kuairec_highest_average	itememb	0.086112	0.074210	0.058164
sasrec	kuairec_first_individual	multihot	0.142726	0.119463	0.106951
sasrec	kuairec_first_individual	typeemb	0.165490	0.145903	0.135890
sasrec	kuairec_first_individual	itememb	0.240976	0.209033	0.179294
gru4rec	kuairec_first_individual	multihot	0.173042	0.149671	0.133769
gru4rec	kuairec_first_individual	typeemb	0.201933	0.182888	0.168512
gru4rec	kuairec_first_individual	itememb	0.065456	0.059801	0.050682
sasrec	kuairec_first_average	multihot	0.143402	0.119795	0.107080
sasrec	kuairec_first_average	typeemb	0.176175	0.153242	0.141467
sasrec	kuairec_first_average	itememb	0.240946	0.209386	0.179426
gru4rec	kuairec_first_average	multihot	0.169266	0.148220	0.135909
gru4rec	kuairec_first_average	typeemb	0.207336	0.190600	0.179593
gru4rec	kuairec_first_average	itememb	0.108911	0.090217	0.068183
